1708073477.300298 server started (12548): version 3.3a, socket /tmp/tmux-1000/default, protocol 8
1708073477.300599 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1708073477.300601 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1708073477.300604 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1708073477.300607 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1708073477.300609 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1708073477.300612 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1708073477.300614 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1708073477.300617 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1708073477.300620 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1708073477.300622 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1708073477.300625 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1708073477.300628 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1708073477.300630 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1708073477.300633 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1708073477.300636 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1708073477.300638 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1708073477.300641 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1708073477.300644 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1708073477.300646 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1708073477.300649 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1708073477.300652 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1708073477.300655 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1708073477.300657 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1708073477.300660 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1708073477.300663 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1708073477.300665 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1708073477.300668 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1708073477.300671 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1708073477.300674 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1708073477.300677 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1708073477.300679 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1708073477.300682 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1708073477.300685 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1708073477.300688 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1708073477.300691 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1708073477.300693 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1708073477.300696 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1708073477.300699 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1708073477.300702 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1708073477.300704 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1708073477.300707 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1708073477.300709 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1708073477.300712 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1708073477.300717 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1708073477.300720 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1708073477.300723 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1708073477.300725 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1708073477.300728 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1708073477.300731 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1708073477.300734 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1708073477.300736 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1708073477.300739 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1708073477.300742 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1708073477.300745 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1708073477.300748 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1708073477.300750 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1708073477.300754 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1708073477.300757 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1708073477.300762 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1708073477.300765 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1708073477.300767 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1708073477.300770 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1708073477.300773 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1708073477.300776 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1708073477.300778 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1708073477.300781 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1708073477.300784 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
